cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,0,cassiopeia-greedy,31,8,26,5,0.615385,0.83871,0.16129,99.65,5.39,1.071505376344086021505376344
50,10,0.15,0.1,0,startle_nni,48,7,42,6,0.538462,0.875,0.125,99.51,3.30,1.07
50,10,0.15,0.1,0,startle_nni_python,18,8,13,5,0.615385,0.722222,0.277778,90.52,60.49,0.9733333333333333333333333333
50,10,0.15,0.1,0,startle_ilp,18,7,12,6,0.538462,0.666667,0.333333,90.52,12.55,0.9733333333333333333333333333
50,10,0.15,0.1,0,laml,48,7,42,6,0.538462,0.875,0.125,99.51,199.51,1.07
50,10,0.15,0.1,0,paup,23,5,15,8,0.384615,0.652174,0.347826,90.52,1.59,0.9733333333333333333333333333
50,10,0.15,0.1,0,star_cdp,48,4,39,9,0.307692,0.8125,0.1875,90.52,3.87,0.9733333333333333333333333333
50,10,0.15,0.1,0,star_cdp-rand,48,6,41,7,0.461538,0.854167,0.145833,90.52,3.62,0.9733333333333333333333333333
50,10,0.15,0.1,0,paup-sc,5,8,0,5,0.615385,0.0,1.0,156.88,,1.686881720430107526881720430
50,10,0.15,0.1,0,star_cdp-sc,8,8,3,5,0.615385,0.375,0.625,186.79,,2.008494623655913978494623656
50,10,0.15,0.1,0,ground-truth,13,0,0,13.0,0.0,0.0,1,93.00,,1
50,10,0.15,0.1,1,cassiopeia-greedy,26,6,22,4,0.6,0.846154,0.153846,82.37,5.42,1
50,10,0.15,0.1,1,startle_nni,48,4,42,6,0.4,0.875,0.125,90.91,3.92,1.103678523734369309214519849
50,10,0.15,0.1,1,startle_nni_python,21,4,15,6,0.4,0.714286,0.285714,79.17,73.51,0.9611509044555056452591963093
50,10,0.15,0.1,1,startle_ilp,20,4,14,6,0.4,0.7,0.3,82.37,12.09,1
50,10,0.15,0.1,1,laml,48,4,42,6,0.4,0.875,0.125,77.44,509.55,0.9401481121767633847274493141
50,10,0.15,0.1,1,paup,14,4,8,6,0.4,0.571429,0.428571,82.37,1.37,1
50,10,0.15,0.1,1,star_cdp,48,4,42,6,0.4,0.875,0.125,70.99,3.69,0.8618429039698919509530168751
50,10,0.15,0.1,1,star_cdp-rand,48,4,42,6,0.4,0.875,0.125,70.99,3.89,0.8618429039698919509530168751
50,10,0.15,0.1,1,paup-sc,2,8,0,2,0.8,0.0,1.0,356.06,,4.322690299866456234065800656
50,10,0.15,0.1,1,star_cdp-sc,7,5,2,5,0.5,0.285714,0.714286,111.14,,1.349277649629719558091538181
50,10,0.15,0.1,1,ground-truth,10,0,0,10.0,0.0,0.0,1,82.37,,1
50,10,0.15,0.1,2,cassiopeia-greedy,24,4,22,2,0.666667,0.916667,0.083333,54.87,4.99,1
50,10,0.15,0.1,2,startle_nni,48,4,46,2,0.666667,0.958333,0.041667,63.42,3.61,1.155822854018589393110989612
50,10,0.15,0.1,2,startle_nni_python,14,4,12,2,0.666667,0.857143,0.142857,60.67,56.76,1.105704392199744851467104064
50,10,0.15,0.1,2,startle_ilp,13,3,10,3,0.5,0.769231,0.230769,54.87,12.24,1
50,10,0.15,0.1,2,laml,48,4,46,2,0.666667,0.958333,0.041667,63.42,258.43,1.155822854018589393110989612
50,10,0.15,0.1,2,paup,8,3,5,3,0.5,0.625,0.375,54.87,1.30,1
50,10,0.15,0.1,2,star_cdp,48,3,45,3,0.5,0.9375,0.0625,54.87,3.38,1
50,10,0.15,0.1,2,star_cdp-rand,48,3,45,3,0.5,0.9375,0.0625,54.87,3.40,1
50,10,0.15,0.1,2,paup-sc,2,4,0,2,0.666667,0.0,1.0,135.70,,2.473118279569892473118279570
50,10,0.15,0.1,2,star_cdp-sc,7,3,4,3,0.5,0.571429,0.428571,103.85,,1.892655367231638418079096045
50,10,0.15,0.1,2,ground-truth,6,0,0,6.0,0.0,0.0,1,54.87,,1
50,10,0.15,0.1,3,cassiopeia-greedy,35,5,27,8,0.384615,0.771429,0.228571,72.72,5.31,1.068940173452888431574305453
50,10,0.15,0.1,3,startle_nni,48,7,42,6,0.538462,0.875,0.125,86.70,3.71,1.274437748052329854475966485
50,10,0.15,0.1,3,startle_nni_python,19,4,10,9,0.307692,0.526316,0.473684,70.07,72.00,1.029986770542407761281787447
50,10,0.15,0.1,3,startle_ilp,19,2,8,11,0.153846,0.421053,0.578947,68.03,16.22,1
50,10,0.15,0.1,3,laml,48,6,41,7,0.461538,0.854167,0.145833,83.22,254.38,1.223283845362340144054093782
50,10,0.15,0.1,3,paup,17,3,7,10,0.230769,0.411765,0.588235,68.03,1.66,1
50,10,0.15,0.1,3,star_cdp,48,3,38,10,0.230769,0.791667,0.208333,68.03,3.87,1
50,10,0.15,0.1,3,star_cdp-rand,48,2,37,11,0.153846,0.770833,0.229167,68.03,3.84,1
50,10,0.15,0.1,3,paup-sc,5,8,0,5,0.615385,0.0,1.0,149.00,,2.190210201381743348522710569
50,10,0.15,0.1,3,star_cdp-sc,14,3,4,10,0.230769,0.285714,0.714286,81.62,,1.199764809642804645009554608
50,10,0.15,0.1,3,ground-truth,13,0,0,13.0,0.0,0.0,1,68.03,,1
50,10,0.15,0.1,4,cassiopeia-greedy,22,5,19,3,0.625,0.863636,0.136364,47.25,5.49,1
50,10,0.15,0.1,4,startle_nni,48,7,47,1,0.875,0.979167,0.020833,57.45,3.23,1.215873015873015873015873016
50,10,0.15,0.1,4,startle_nni_python,11,4,7,4,0.5,0.636364,0.363636,49.72,77.24,1.052275132275132275132275132
50,10,0.15,0.1,4,startle_ilp,9,3,4,5,0.375,0.444444,0.555556,47.25,11.80,1
50,10,0.15,0.1,4,laml,48,7,47,1,0.875,0.979167,0.020833,57.45,363.95,1.215873015873015873015873016
50,10,0.15,0.1,4,paup,8,5,5,3,0.625,0.625,0.375,47.25,1.26,1
50,10,0.15,0.1,4,star_cdp,48,6,46,2,0.75,0.958333,0.041667,47.25,3.34,1
50,10,0.15,0.1,4,star_cdp-rand,48,5,45,3,0.625,0.9375,0.0625,47.25,3.29,1
50,10,0.15,0.1,4,paup-sc,1,7,0,1,0.875,0.0,1.0,151.09,,3.197671957671957671957671958
50,10,0.15,0.1,4,star_cdp-sc,2,6,0,2,0.75,0.0,1.0,146.48,,3.100105820105820105820105820
50,10,0.15,0.1,4,ground-truth,8,0,0,8.0,0.0,0.0,1,47.25,,1
50,10,0.15,0.1,5,cassiopeia-greedy,32,6,23,9,0.4,0.71875,0.28125,65.87,6.37,1
50,10,0.15,0.1,5,startle_nni,48,8,41,7,0.533333,0.854167,0.145833,71.78,3.49,1.089722180051616821011082435
