cells,characters,dropout,mutationrate,method,#FN(b/w),#FP(b/w),#TP(b/w),FN_rate(b/w),FP_rate(b/w),TP_rate(b/w),parsimony-score(b/w),weighted-parsimony-score(b/w),time(b/w)
50,10,0.15,0.1,star_cdp,8/3,0/9,3/8,8/3,0/4,5/0,21/0,21/0,0/0
50,10,0.15,0.1,star_cdp-sc,8/2,2/0,2/8,8/2,3/0,0/2,1/2,1/2,0/0
50,20,0.15,0.1,star_cdp,10/0,0/11,0/10,10/0,0/7,7/0,21/0,21/0,0/0
50,20,0.15,0.1,star_cdp-sc,4/1,4/0,1/4,4/1,4/0,1/4,0/2,0/2,0/0
50,30,0.15,0.1,star_cdp,11/0,0/2,0/11,11/0,0/0,0/0,21/0,21/0,0/0
50,30,0.15,0.1,star_cdp-sc,1/0,0/0,0/1,1/0,0/0,0/0,1/2,1/2,0/0
100,10,0.15,0.1,star_cdp,3/0,0/7,0/3,3/0,0/5,5/0,21/0,21/0,0/0
100,10,0.15,0.1,star_cdp-sc,5/0,0/0,0/5,5/0,2/0,0/0,0/1,0/1,0/0
100,20,0.15,0.1,star_cdp,6/0,0/1,0/6,6/0,0/1,1/0,21/0,21/0,0/0
100,20,0.15,0.1,star_cdp-sc,1/0,0/0,0/1,1/0,0/0,0/0,0/1,0/1,0/0
100,30,0.15,0.1,star_cdp,10/0,0/0,0/10,10/0,0/0,0/0,21/0,21/0,0/0
100,30,0.15,0.1,star_cdp-sc,2/0,1/0,0/2,2/0,1/0,0/1,0/2,0/2,0/0
150,10,0.15,0.1,star_cdp,5/1,0/3,1/5,5/1,1/1,1/1,21/0,21/0,0/3
150,10,0.15,0.1,star_cdp-sc,5/0,0/0,0/5,5/0,0/0,0/0,1/1,1/1,0/0
150,20,0.15,0.1,star_cdp,4/0,0/0,0/4,4/0,0/0,0/0,21/0,21/0,0/0
150,20,0.15,0.1,star_cdp-sc,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
150,30,0.15,0.1,star_cdp,6/0,0/0,0/6,6/0,0/0,0/0,21/0,21/0,0/0
150,30,0.15,0.1,star_cdp-sc,2/0,0/0,0/2,2/0,0/0,0/0,0/1,0/1,0/0
200,10,0.15,0.1,star_cdp,0/0,0/2,0/0,0/0,0/0,0/0,20/0,20/0,0/18
200,10,0.15,0.1,star_cdp-sc,3/0,0/0,0/3,3/0,2/0,0/2,0/0,0/0,0/0
200,20,0.15,0.1,star_cdp,7/0,0/0,0/7,7/0,0/0,0/0,21/0,21/0,0/3
200,20,0.15,0.1,star_cdp-sc,3/0,0/0,0/3,3/0,0/0,0/0,0/1,0/1,0/0
200,30,0.15,0.1,star_cdp,9/0,0/0,0/9,9/0,0/0,0/0,21/0,21/0,0/0
200,30,0.15,0.1,star_cdp-sc,1/0,1/0,0/1,1/0,1/0,0/1,0/2,0/2,0/0
