cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,10,0.15,0.1,0,cassiopeia-greedy,13,8,8,5,0.615385,0.615385,0.384615,99.65,5.39,1.071505376344086021505376344
50,10,0.15,0.1,0,startle_nni,14,7,8,6,0.538462,0.571429,0.428571,99.51,3.30,1.07
50,10,0.15,0.1,0,startle_ilp,12,7,6,6,0.538462,0.5,0.5,90.52,12.55,0.9733333333333333333333333333
50,10,0.15,0.1,0,laml,13,7,7,6,0.538462,0.538462,0.461538,99.51,106.08,1.07
50,10,0.15,0.1,0,paup,17,5,9,8,0.384615,0.529412,0.470588,90.52,1.59,0.9733333333333333333333333333
50,10,0.15,0.1,0,star_cdp,16,6,9,7,0.461538,0.5625,0.4375,90.52,3.87,0.9733333333333333333333333333
50,10,0.15,0.1,0,paup-sc,5,8,0,5,0.615385,0.0,1.0,156.88,,1.686881720430107526881720430
50,10,0.15,0.1,0,star_cdp-sc,7,8,2,5,0.615385,0.285714,0.714286,186.79,,2.008494623655913978494623656
50,10,0.15,0.1,0,ground-truth,13,0,0,13.0,0.0,0.0,1,93.00,,1
50,10,0.15,0.1,1,cassiopeia-greedy,10,7,7,3,0.7,0.7,0.3,82.37,5.42,1
50,10,0.15,0.1,1,startle_nni,12,4,6,6,0.4,0.5,0.5,90.91,3.92,1.103678523734369309214519849
50,10,0.15,0.1,1,startle_ilp,10,4,4,6,0.4,0.4,0.6,82.37,12.09,1
50,10,0.15,0.1,1,laml,11,4,5,6,0.4,0.454545,0.545455,83.14,222.14,1.009348063615393954109505888
50,10,0.15,0.1,1,paup,11,4,5,6,0.4,0.454545,0.545455,82.37,1.37,1
50,10,0.15,0.1,1,star_cdp,10,4,4,6,0.4,0.4,0.6,70.99,3.69,0.8618429039698919509530168751
50,10,0.15,0.1,1,paup-sc,2,8,0,2,0.8,0.0,1.0,356.06,,4.322690299866456234065800656
50,10,0.15,0.1,1,star_cdp-sc,6,5,1,5,0.5,0.166667,0.833333,111.14,,1.349277649629719558091538181
50,10,0.15,0.1,1,ground-truth,10,0,0,10.0,0.0,0.0,1,82.37,,1
50,10,0.15,0.1,2,cassiopeia-greedy,8,4,6,2,0.666667,0.75,0.25,54.87,4.99,1
50,10,0.15,0.1,2,startle_nni,8,4,6,2,0.666667,0.75,0.25,63.42,3.61,1.155822854018589393110989612
50,10,0.15,0.1,2,startle_ilp,6,3,3,3,0.5,0.5,0.5,54.87,12.24,1
50,10,0.15,0.1,2,laml,8,4,6,2,0.666667,0.75,0.25,63.42,221.50,1.155822854018589393110989612
50,10,0.15,0.1,2,paup,6,3,3,3,0.5,0.5,0.5,54.87,1.30,1
50,10,0.15,0.1,2,star_cdp,9,3,6,3,0.5,0.666667,0.333333,54.87,3.38,1
50,10,0.15,0.1,2,paup-sc,2,4,0,2,0.666667,0.0,1.0,135.70,,2.473118279569892473118279570
50,10,0.15,0.1,2,star_cdp-sc,5,3,2,3,0.5,0.4,0.6,103.85,,1.892655367231638418079096045
50,10,0.15,0.1,2,ground-truth,6,0,0,6.0,0.0,0.0,1,54.87,,1
50,10,0.15,0.1,3,cassiopeia-greedy,14,5,6,8,0.384615,0.428571,0.571429,72.72,5.31,1.068940173452888431574305453
50,10,0.15,0.1,3,startle_nni,12,8,7,5,0.615385,0.583333,0.416667,86.70,3.71,1.274437748052329854475966485
50,10,0.15,0.1,3,startle_ilp,13,2,2,11,0.153846,0.153846,0.846154,68.03,16.22,1
50,10,0.15,0.1,3,laml,11,8,6,5,0.615385,0.545455,0.454545,86.70,220.13,1.274437748052329854475966485
50,10,0.15,0.1,3,paup,14,5,6,8,0.384615,0.428571,0.571429,68.03,1.66,1
50,10,0.15,0.1,3,star_cdp,14,4,5,9,0.307692,0.357143,0.642857,68.03,3.87,1
50,10,0.15,0.1,3,paup-sc,5,8,0,5,0.615385,0.0,1.0,149.00,,2.190210201381743348522710569
50,10,0.15,0.1,3,star_cdp-sc,12,4,3,9,0.307692,0.25,0.75,81.62,,1.199764809642804645009554608
50,10,0.15,0.1,3,ground-truth,13,0,0,13.0,0.0,0.0,1,68.03,,1
50,10,0.15,0.1,4,cassiopeia-greedy,7,5,4,3,0.625,0.571429,0.428571,47.25,5.49,1
50,10,0.15,0.1,4,startle_nni,8,7,7,1,0.875,0.875,0.125,57.45,3.23,1.215873015873015873015873016
50,10,0.15,0.1,4,startle_ilp,6,3,1,5,0.375,0.166667,0.833333,47.25,11.80,1
50,10,0.15,0.1,4,laml,4,7,3,1,0.875,0.75,0.25,57.45,239.53,1.215873015873015873015873016
50,10,0.15,0.1,4,paup,8,5,5,3,0.625,0.625,0.375,47.25,1.26,1
