silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
0,100,01,01,cassiopeia_greedy,222,158,185,37,0.810256,0.833333,0.166667,2417.45,6.00,1.668783609341239654017934186
0,100,01,01,startle_nni,220,121,146,74,0.620513,0.663636,0.336364,1677.63,3.29,1.158080393199091555469650635
0,100,01,01,laml,164,123,92,72,0.630769,0.560976,0.439024,1675.68,997.60,1.156734293781020688512594658
0,100,01,01,paup,224,62,91,133,0.317949,0.40625,0.59375,1429.12,49.58,0.9865321027453525054706860965
0,100,01,01,star_cdp,214,61,80,134,0.312821,0.373832,0.626168,1427.16,63.56,0.9851791002533428135548759863
0,100,01,01,paup-sc,151,77,33,118,0.394872,0.218543,0.781457,1498.59,,1.034487757398369493935649545
0,100,01,01,star_cdp-sc,161,74,40,121,0.379487,0.248447,0.751553,,,
0,100,01,01,ground-truth,249,0,0,249,0.0,0.0,1.0,1448.63,,1
0,100,01,02,cassiopeia_greedy,230,160,191,39,0.80402,0.830435,0.169565,2322.11,6.12,1.507012272287733553122586591
0,100,01,02,startle_nni,217,117,135,82,0.58794,0.62212,0.37788,1769.09,5.29,1.148111132022818277985813209
0,100,01,02,laml,160,122,83,77,0.613065,0.51875,0.48125,1767.13,1112.20,1.146839123352391830589212588
0,100,01,02,paup,222,63,86,136,0.316583,0.387387,0.612613,1522.05,57.73,0.9877861208278440102020287240
0,100,01,02,star_cdp,217,61,79,138,0.306533,0.364055,0.635945,1520.09,68.97,0.9865141121574175628054281023
0,100,01,02,paup-sc,143,82,26,117,0.41206,0.181818,0.818182,1609.95,,1.044831815792377033753658647
0,100,01,02,star_cdp-sc,150,78,29,121,0.39196,0.193333,0.806667,,,
0,100,01,02,ground-truth,249,0,0,249,0.0,0.0,1.0,1540.87,,1
0,100,01,03,cassiopeia_greedy,231,145,184,47,0.755208,0.796537,0.203463,2357.48,6.40,1.510546684778429915165184407
0,100,01,03,startle_nni,219,132,159,60,0.6875,0.726027,0.273973,1809.60,15.19,1.159494579285952277212497117
0,100,01,03,laml,162,132,102,60,0.6875,0.62963,0.37037,1807.64,862.93,1.158238716456929030935233360
0,100,01,03,paup,214,81,103,111,0.421875,0.481308,0.518692,1538.94,63.71,0.9860701745393033805776969014
0,100,01,03,star_cdp,209,78,95,114,0.40625,0.454545,0.545455,1536.99,78.59,0.9848207191736935182100110208
0,100,01,03,paup-sc,142,92,42,100,0.479167,0.295775,0.704225,1584.84,,1.015480431606735525540149166
0,100,01,03,star_cdp-sc,149,91,48,101,0.473958,0.322148,0.677852,,,
0,100,01,03,ground-truth,249,0,0,249,0.0,0.0,1.0,1560.68,,1
0,100,01,04,cassiopeia_greedy,229,175,196,33,0.841346,0.855895,0.144105,2306.59,5.65,1.562328126904997358403663014
0,100,01,04,startle_nni,215,138,145,70,0.663462,0.674419,0.325581,1743.68,8.66,1.181050948942684132811335835
0,100,01,04,laml,158,145,95,63,0.697115,0.601266,0.398734,1741.72,741.70,1.179723377450249935653422561
