silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
0,100,01,01,cassiopeia_greedy,207,158,170,37,0.810256,0.821256,0.178744,2417.45,6.00,1.668783609341239654017934186
0,100,01,01,startle_nni,204,123,132,72,0.630769,0.647059,0.352941,1677.63,3.29,1.158080393199091555469650635
0,100,01,01,laml,204,123,132,72,0.630769,0.647059,0.352941,1675.68,997.60,1.156734293781020688512594658
0,100,01,01,paup,217,63,85,132,0.323077,0.391705,0.608295,1429.12,49.58,0.9865321027453525054706860965
0,100,01,01,star_cdp,203,63,71,132,0.323077,0.349754,0.650246,1427.16,63.56,0.9851791002533428135548759863
0,100,01,01,paup-sc,151,77,33,118,0.394872,0.218543,0.781457,1498.59,,1.034487757398369493935649545
0,100,01,01,star_cdp-sc,161,74,40,121,0.379487,0.248447,0.751553,,,
0,100,01,01,ground-truth,249,0,0,249,0.0,0.0,1.0,1448.63,,1
0,100,01,02,cassiopeia_greedy,221,160,182,39,0.80402,0.823529,0.176471,2322.11,6.12,1.507012272287733553122586591
0,100,01,02,startle_nni,202,120,123,79,0.603015,0.608911,0.391089,1769.09,5.29,1.148111132022818277985813209
0,100,01,02,laml,202,120,123,79,0.603015,0.608911,0.391089,1767.13,1112.20,1.146839123352391830589212588
0,100,01,02,paup,214,65,80,134,0.326633,0.373832,0.626168,1522.05,57.73,0.9877861208278440102020287240
0,100,01,02,star_cdp,208,63,72,136,0.316583,0.346154,0.653846,1520.09,68.97,0.9865141121574175628054281023
0,100,01,02,paup-sc,143,82,26,117,0.41206,0.181818,0.818182,1609.95,,1.044831815792377033753658647
0,100,01,02,star_cdp-sc,150,78,29,121,0.39196,0.193333,0.806667,,,
0,100,01,02,ground-truth,249,0,0,249,0.0,0.0,1.0,1540.87,,1
0,100,01,03,cassiopeia_greedy,216,150,174,42,0.78125,0.805556,0.194444,2357.48,6.40,1.510546684778429915165184407
0,100,01,03,startle_nni,201,133,142,59,0.692708,0.706468,0.293532,1809.60,15.19,1.159494579285952277212497117
