silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
0,100,01,01,startle_nni,204,172,128,76,0.693548,0.627451,0.372549,1677.63,3.29,1.158080393199091555469650635
0,100,01,01,laml,248,168,168,80,0.677419,0.677419,0.322581,1675.68,997.60,1.156734293781020688512594658
0,100,01,01,paup,217,110,79,138,0.443548,0.364055,0.635945,1429.12,49.58,0.9865321027453525054706860965
0,100,01,01,star_cdp,203,113,68,135,0.455645,0.334975,0.665025,1427.16,63.56,0.9851791002533428135548759863
0,100,01,01,paup-sc,151,129,32,119,0.520161,0.211921,0.788079,1498.59,,1.034487757398369493935649545
0,100,01,01,star_cdp-sc,161,125,38,123,0.504032,0.236025,0.763975,,,
0,100,01,01,ground-truth,249,0,0,249,0.0,0.0,1.0,1448.63,,1
0,100,01,02,startle_nni,202,164,118,84,0.66129,0.584158,0.415842,1769.09,5.29,1.148111132022818277985813209
0,100,01,02,laml,248,158,158,90,0.637097,0.637097,0.362903,1767.13,1112.20,1.146839123352391830589212588
0,100,01,02,paup,214,110,76,138,0.443548,0.35514,0.64486,1522.05,57.73,0.9877861208278440102020287240
0,100,01,02,star_cdp,208,106,66,142,0.427419,0.317308,0.682692,1520.09,68.97,0.9865141121574175628054281023
0,100,01,02,paup-sc,143,130,25,118,0.524194,0.174825,0.825175,1609.95,,1.044831815792377033753658647
0,100,01,02,star_cdp-sc,150,126,28,122,0.508065,0.186667,0.813333,,,
0,100,01,02,ground-truth,249,0,0,249,0.0,0.0,1.0,1540.87,,1
0,100,01,03,startle_nni,201,188,141,60,0.758065,0.701493,0.298507,1809.60,15.19,1.159494579285952277212497117
0,100,01,03,laml,248,185,185,63,0.745968,0.745968,0.254032,1807.64,862.93,1.158238716456929030935233360
0,100,01,03,paup,200,136,88,112,0.548387,0.44,0.56,1538.94,63.71,0.9860701745393033805776969014
0,100,01,03,star_cdp,197,134,83,114,0.540323,0.42132,0.57868,1536.99,78.59,0.9848207191736935182100110208
0,100,01,03,paup-sc,142,148,42,100,0.596774,0.295775,0.704225,1584.84,,1.015480431606735525540149166
0,100,01,03,star_cdp-sc,149,147,48,101,0.592742,0.322148,0.677852,,,
0,100,01,03,ground-truth,249,0,0,249,0.0,0.0,1.0,1560.68,,1
0,100,01,04,startle_nni,202,179,133,69,0.721774,0.658416,0.341584,1743.68,8.66,1.181050948942684132811335835
0,100,01,04,laml,248,174,174,74,0.701613,0.701613,0.298387,1741.72,741.70,1.179723377450249935653422561
0,100,01,04,paup,209,112,73,136,0.451613,0.349282,0.650718,1458.21,62.70,0.9876928703992197130819978596
0,100,01,04,star_cdp,201,110,63,138,0.443548,0.313433,0.686567,1456.25,78.55,0.9863652989067855159240845853
0,100,01,04,paup-sc,143,132,27,116,0.532258,0.188811,0.811189,1504.80,,1.019249786640295858789742478
0,100,01,04,star_cdp-sc,152,124,28,124,0.5,0.184211,0.815789,,,
0,100,01,04,ground-truth,249,0,0,249,0.0,0.0,1.0,1476.38,,1
0,100,01,05,startle_nni,199,168,119,80,0.677419,0.59799,0.40201,1724.78,7.37,1.128989605425077893854894876
0,100,01,05,laml,248,161,161,87,0.649194,0.649194,0.350806,1722.82,924.31,1.127706647815044641688267484
0,100,01,05,paup,203,121,76,127,0.487903,0.374384,0.625616,1504.95,59.25,0.9850954363365014531458644254
0,100,01,05,star_cdp,198,129,79,119,0.520161,0.39899,0.60101,1502.99,75.55,0.9838124787264682009792370330
0,100,01,05,paup-sc,127,147,26,101,0.592742,0.204724,0.795276,1638.10,,1.072251459691566517424658969
0,100,01,05,star_cdp-sc,143,145,40,103,0.584677,0.27972,0.72028,,,
0,100,01,05,ground-truth,249,0,0,249,0.0,0.0,1.0,1527.72,,1
0,100,02,01,startle_nni,206,136,94,112,0.548387,0.456311,0.543689,2300.51,10.33,1.100611900239688835093124614
0,100,02,01,laml,248,135,135,113,0.544355,0.544355,0.455645,2298.82,1821.57,1.099803369039474502561943537
0,100,02,01,paup,217,76,45,172,0.306452,0.207373,0.792627,2068.45,59.56,0.9895895627712048071724850613
0,100,02,01,star_cdp,211,77,40,171,0.310484,0.189573,0.810427,2066.76,73.76,0.9887810315709904746413039838
0,100,02,01,paup-sc,172,92,16,156,0.370968,0.093023,0.906977,2085.72,,0.9978518904799039330976313385
0,100,02,01,star_cdp-sc,179,88,19,160,0.354839,0.106145,0.893855,,,
0,100,02,01,ground-truth,249,0,0,249,0.0,0.0,1.0,2090.21,,1
0,100,02,02,startle_nni,212,140,104,108,0.564516,0.490566,0.509434,2372.48,3.12,1.101823771728983898608137542
0,100,02,02,laml,248,134,134,114,0.540323,0.540323,0.459677,2370.79,994.84,1.101038904343706896151363301
0,100,02,02,paup,220,77,49,171,0.310484,0.222727,0.777273,2137.08,62.99,0.9924996400756073433864473373
0,100,02,02,star_cdp,214,87,53,161,0.350806,0.247664,0.752336,2135.39,73.67,0.9917147726903303409296730958
0,100,02,02,paup-sc,168,100,20,148,0.403226,0.119048,0.880952,2168.89,,1.007272794824519442883482025
0,100,02,02,star_cdp-sc,171,100,23,148,0.403226,0.134503,0.865497,,,
0,100,02,02,ground-truth,249,0,0,249,0.0,0.0,1.0,2153.23,,1
0,100,02,03,startle_nni,206,142,100,106,0.572581,0.485437,0.514563,2420.23,2.37,1.102977299967642997443341066
0,100,02,03,laml,248,142,142,106,0.572581,0.572581,0.427419,2418.54,764.38,1.102207112160308439708878123
0,100,02,03,paup,208,72,32,176,0.290323,0.153846,0.846154,2183.61,52.26,0.9951418922921974050595414420
0,100,02,03,star_cdp,205,75,32,173,0.302419,0.156098,0.843902,2181.92,70.52,0.9943717044848628473250784999
0,100,02,03,paup-sc,156,97,5,151,0.391129,0.032051,0.967949,2232.92,,1.017614058434012222743782670
0,100,02,03,star_cdp-sc,162,92,6,156,0.370968,0.037037,0.962963,,,
0,100,02,03,ground-truth,249,0,0,249,0.0,0.0,1.0,2194.27,,1
0,100,02,04,startle_nni,201,140,93,108,0.564516,0.462687,0.537313,2394.76,6.99,1.099169229356955982925597834
0,100,02,04,laml,248,136,136,112,0.548387,0.548387,0.451613,2393.07,1215.49,1.098393537430577867535686419
0,100,02,04,paup,211,68,31,180,0.274194,0.146919,0.853081,2160.47,51.36,0.9916326249598384357644466884
0,100,02,04,star_cdp,211,72,35,176,0.290323,0.165877,0.834123,2158.78,65.16,0.9908569330334603203745352733
0,100,02,04,paup-sc,170,87,9,161,0.350806,0.052941,0.947059,2188.00,,1.004268600541607380548033231
0,100,02,04,star_cdp-sc,180,80,12,168,0.322581,0.066667,0.933333,,,
0,100,02,04,ground-truth,249,0,0,249,0.0,0.0,1.0,2178.70,,1
0,100,02,05,startle_nni,205,165,122,83,0.665323,0.595122,0.404878,2425.98,5.55,1.136311687338404466594221906
0,100,02,05,laml,248,164,164,84,0.66129,0.66129,0.33871,2424.29,1172.10,1.135520103421141379697980290
0,100,02,05,paup,208,89,49,159,0.358871,0.235577,0.764423,2108.88,53.76,0.9877843144602240791396560123
0,100,02,05,star_cdp,205,92,49,156,0.370968,0.239024,0.760976,2107.19,66.26,0.9869927305429609922434143965
0,100,02,05,paup-sc,156,109,17,139,0.439516,0.108974,0.891026,2145.74,,1.005049274927867501030464271
0,100,02,05,star_cdp-sc,163,103,18,145,0.415323,0.110429,0.889571,,,
0,100,02,05,ground-truth,249,0,0,249,0.0,0.0,1.0,2134.96,,1
0,100,03,01,startle_nni,196,170,118,78,0.685484,0.602041,0.397959,2014.22,6.20,1.189333774216595712016627597
0,100,03,01,laml,248,165,165,83,0.665323,0.665323,0.334677,2009.13,1152.49,1.186328288762791027238319054
0,100,03,01,paup,202,92,46,156,0.370968,0.227723,0.772277,1676.36,47.28,0.9898380344479413310344420366
0,100,03,01,star_cdp,197,96,45,152,0.387097,0.228426,0.771574,1671.27,66.21,0.9868325489941366462561334932
0,100,03,01,paup-sc,146,117,15,131,0.471774,0.10274,0.89726,1718.39,,1.014655432016391409862007475
0,100,03,01,star_cdp-sc,151,113,16,135,0.455645,0.10596,0.89404,,,
0,100,03,01,ground-truth,249,0,0,249,0.0,0.0,1.0,1693.57,,1
0,100,03,02,startle_nni,198,179,129,69,0.721774,0.651515,0.348485,2114.74,11.76,1.212121559501564774798528080
0,100,03,02,laml,248,179,179,69,0.721774,0.721774,0.278226,2109.65,832.44,1.209204085609803629360448454
0,100,03,02,paup,204,101,57,147,0.407258,0.279412,0.720588,1713.65,58.22,0.9822257631859502711129962285
0,100,03,02,star_cdp,201,104,57,144,0.419355,0.283582,0.716418,1708.56,75.51,0.9793082892941891256749166027
0,100,03,02,paup-sc,151,123,26,125,0.495968,0.172185,0.827815,1755.24,,1.006064218816273657904692032
