pipeline,metric,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybrid
1a,FN (No contraction),90,92,93,91,96,93,95
1a,FP (No contraction),90,92,0,21,0,93,17
1a,TP (No contraction),9,7,6,8,3,6,4
1a,RF (No contraction),180,184,93,112,96,186,112
1a,FN (SH contraction),21,22,22,21,25,23,24
1a,FP (SH contraction),14,17,0,17,0,12,12
1a,TP (SH contraction),7,6,6,7,3,5,4
1a,RF (SH contraction),35,39,22,38,25,35,36
1b,FN (No contraction),90,92,85,89,89,94,
1b,FP (No contraction),90,92,85,89,89,94,
1b,TP (No contraction),9,7,14,10,10,5,
1b,RF (No contraction),180,184,170,178,178,188,
1b,FN (SH contraction),21,22,20,21,20,23,
1b,FP (SH contraction),15,17,35,17,15,12,
1b,TP (SH contraction),7,6,8,7,8,5,
1b,RF (SH contraction),36,39,55,38,35,35,
1c,FN (No contraction),91,91,0,90,91,94,
1c,FP (No contraction),91,91,0,90,91,94,
1c,TP (No contraction),8,8,99,9,8,5,
1c,RF (No contraction),182,182,0,180,182,188,
1c,FN (SH contraction),20,21,0,21,23,23,
1c,FP (SH contraction),13,12,0,15,15,11,
1c,TP (SH contraction),8,7,28,7,5,5,
1c,RF (SH contraction),33,33,0,36,38,34,
2a,FN (No contraction),92,92,93,92,93,93,94
2a,FP (No contraction),82,82,33,24,8,83,15
2a,TP (No contraction),7,7,6,7,6,6,5
2a,RF (No contraction),174,174,126,116,101,176,109
2a,FN (SH contraction),21,21,22,21,22,23,23
2a,FP (SH contraction),19,21,10,20,8,9,10
2a,TP (SH contraction),7,7,6,7,6,5,5
2a,RF (SH contraction),40,42,32,41,30,32,33
2b,FN (No contraction),90,91,91,90,89,94,
2b,FP (No contraction),90,91,91,90,89,94,
2b,TP (No contraction),9,8,8,9,10,5,
2b,RF (No contraction),180,182,182,180,178,188,
2b,FN (SH contraction),21,22,20,21,20,24,
2b,FP (SH contraction),19,22,16,20,23,11,
2b,TP (SH contraction),7,6,8,7,8,4,
2b,RF (SH contraction),40,44,36,41,43,35,
2c,FN (No contraction),92,88,90,91,91,93,
2c,FP (No contraction),92,88,90,91,91,93,
2c,TP (No contraction),7,11,9,8,8,6,
2c,RF (No contraction),184,176,180,182,182,186,
2c,FN (SH contraction),21,20,21,21,20,22,
2c,FP (SH contraction),16,17,19,18,20,9,
2c,TP (SH contraction),7,8,7,7,8,6,
2c,RF (SH contraction),37,37,40,39,40,31,
