pipeline,migration type,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybird
1a,Lymph-tissue-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,0
1a,Lymph-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Lymph-tissue-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,0
1a,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,0
1a,Lymph-tissue-metastasis-1->Primary-tumor-1,1,2,2,2,2,3,0
1a,Lymph-tissue-metastasis-1->Kidney-metastasis-3,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Kidney-metastasis-2,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Kidney-metastasis-1,2,3,3,3,3,5,3
1a,Lung-metastasis-2->Primary-tumor-1,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Kidney-metastasis-3,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,2,1
1a,Lung-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,2,0
1a,Lung-metastasis-1->Kidney-metastasis-3,1,1,1,1,1,0,1
1a,Kidney-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-2->Lung-metastasis-2,0,0,0,0,0,0,0
1a,Kidney-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-2->Kidney-metastasis-1,6,7,8,7,8,5,7
1a,Kidney-metastasis-2->Primary-tumor-1,1,1,1,0,1,0,0
1a,Kidney-metastasis-2->Kidney-metastasis-3,65,57,63,64,73,56,88
1a,Kidney-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,0
1a,Kidney-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,1,0
1a,Kidney-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-1->Kidney-metastasis-3,1,2,0,0,0,0,2
1a,Primary-tumor-1->Lymph-tissue-metastasis-1,17,17,18,18,18,16,20
1a,Primary-tumor-1->Lung-metastasis-2,1,1,1,1,1,1,1
1a,Primary-tumor-1->Lung-metastasis-1,2,2,2,2,2,3,3
1a,Primary-tumor-1->Kidney-metastasis-2,5,7,5,6,5,7,10
1a,Primary-tumor-1->Kidney-metastasis-1,2,1,1,2,1,2,2
1a,Primary-tumor-1->Kidney-metastasis-3,8,9,5,8,5,4,6
1a,Kidney-metastasis-3->Lymph-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Kidney-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,0
1a,Kidney-metastasis-3->Lung-metastasis-1,0,0,0,0,0,1,2
1a,Kidney-metastasis-3->Kidney-metastasis-2,29,34,46,35,32,49,19
1a,Kidney-metastasis-3->Kidney-metastasis-1,3,3,2,2,2,6,2
1a,Kidney-metastasis-3->Primary-tumor-1,1,0,4,3,4,7,4
1a,reseeding,3,3,7,5,7,12,4
1a,migration,145,147,162,154,158,170,171
1b,Lymph-tissue-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
1b,Lymph-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,
1b,Lymph-tissue-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,0,
1b,Lymph-tissue-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
1b,Lymph-tissue-metastasis-1->Primary-tumor-1,0,1,2,5,5,0,
1b,Lymph-tissue-metastasis-1->Kidney-metastasis-3,0,0,0,0,0,0,
1b,Lung-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-2->Kidney-metastasis-2,0,0,0,0,0,0,
1b,Lung-metastasis-2->Kidney-metastasis-1,2,3,3,3,3,5,
1b,Lung-metastasis-2->Primary-tumor-1,0,0,0,0,0,0,
1b,Lung-metastasis-2->Kidney-metastasis-3,0,0,0,0,0,0,
1b,Lung-metastasis-1->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-1->Lung-metastasis-2,0,0,0,0,0,0,
1b,Lung-metastasis-1->Kidney-metastasis-2,0,0,0,0,0,1,
1b,Lung-metastasis-1->Kidney-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,2,
1b,Lung-metastasis-1->Kidney-metastasis-3,1,1,1,1,1,0,
1b,Kidney-metastasis-2->Lymph-tissue-metastasis-1,0,0,0,0,0,0,
1b,Kidney-metastasis-2->Lung-metastasis-2,0,0,0,0,0,0,
1b,Kidney-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,
1b,Kidney-metastasis-2->Kidney-metastasis-1,5,6,7,7,7,6,
1b,Kidney-metastasis-2->Primary-tumor-1,1,0,1,0,1,1,
