pipeline,migration type,star_cdp_one_sol,star_cdp_rand_sol,star_cdp_sc,paup_one_sol,paup_sc,startle_nni,Cassiopeia-Hybird
1a,Lung-metastasis-1->Lung-metastasis-3,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Soft-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-1->Lung-metastasis-2,1,1,1,1,1,0,0
1a,Lung-metastasis-3->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-3->Primary-tumor-1,4,5,4,5,4,2,11
1a,Lung-metastasis-3->Soft-tissue-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,0
1a,Primary-tumor-1->Lung-metastasis-1,8,8,8,8,8,8,9
1a,Primary-tumor-1->Lung-metastasis-3,19,19,21,19,21,22,7
1a,Primary-tumor-1->Soft-tissue-metastasis-1,25,26,25,25,25,22,15
1a,Primary-tumor-1->Lung-metastasis-2,16,17,20,33,33,28,36
1a,Soft-tissue-metastasis-1->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Soft-tissue-metastasis-1->Lung-metastasis-3,0,0,0,0,0,0,0
1a,Soft-tissue-metastasis-1->Primary-tumor-1,46,47,51,51,51,27,57
1a,Soft-tissue-metastasis-1->Lung-metastasis-2,1,1,1,1,1,1,1
1a,Lung-metastasis-2->Lung-metastasis-1,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Lung-metastasis-3,0,0,0,0,0,0,0
1a,Lung-metastasis-2->Primary-tumor-1,3,3,2,0,0,3,0
1a,Lung-metastasis-2->Soft-tissue-metastasis-1,0,0,0,0,0,0,0
1a,reseeding,53,55,57,56,55,32,68
1a,migration,123,127,133,143,144,113,136
1b,Lung-metastasis-1->Lung-metastasis-3,0,0,0,0,0,0,
1b,Lung-metastasis-1->Primary-tumor-1,0,0,0,0,0,0,
1b,Lung-metastasis-1->Soft-tissue-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-1->Lung-metastasis-2,1,1,1,1,1,0,
1b,Lung-metastasis-3->Lung-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-3->Primary-tumor-1,4,5,4,0,1,2,
1b,Lung-metastasis-3->Soft-tissue-metastasis-1,0,0,0,0,0,0,
1b,Lung-metastasis-3->Lung-metastasis-2,0,0,0,0,0,0,
1b,Primary-tumor-1->Lung-metastasis-1,8,8,8,8,8,8,
1b,Primary-tumor-1->Lung-metastasis-3,19,19,18,21,21,22,
