"SILENCING","PRIOR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS","CONTRACT"
0,1,"0%",1,"Startle-NNI (C++)",248,248,168,168,80,0.677419,0.677419,0.322581,0.3225806451612903,0.3225806451612903,0.3225806451612903,336,1677.63,1.1580803931990915,3.29,"NONE"
0,1,"0%",1,"LAML",248,248,161,161,87,0.649194,0.649194,0.350806,0.35080645161290325,0.35080645161290325,0.35080645161290325,322,1644.8,1.1354176014579291,10042.18,"NONE"
0,1,"0%",1,"Cassiopeia-Greedy",248,246,202,200,46,0.814516,0.813008,0.186992,0.18699186991869918,0.18548387096774194,0.18623481781376516,402,2417.45,1.6687836093412394,6.0,"NONE"
0,1,"0%",1,"StarCDP-Rand",248,248,92,92,156,0.370968,0.370968,0.629032,0.6290322580645161,0.6290322580645161,0.6290322580645161,184,1427.16,0.9851791002533428,64.37,"NONE"
0,1,"0%",1,"StarCDP-Bias",248,248,110,110,138,0.443548,0.443548,0.556452,0.5564516129032258,0.5564516129032258,0.5564516129032258,220,1427.16,0.9851791002533428,63.56,"NONE"
0,1,"0%",1,"PAUP*",248,232,107,91,141,0.431452,0.392241,0.607759,0.6077586206896551,0.5685483870967742,0.5875,198,1429.12,0.9865321027453523,49.58,"NONE"
0,1,"0%",1,"PAUP*-SC",248,151,129,32,119,0.520161,0.211921,0.788079,0.7880794701986755,0.4798387096774194,0.5964912280701755,161,"NA","NA","NA","NONE"
0,1,"0%",1,"StarCDP-SC",248,161,125,38,123,0.504032,0.236025,0.763975,0.7639751552795031,0.4959677419354839,0.6014669926650367,163,"NA","NA","NA","NONE"
0,1,"0%",2,"Startle-NNI (C++)",248,248,158,158,90,0.637097,0.637097,0.362903,0.3629032258064516,0.3629032258064516,0.3629032258064516,316,1769.09,1.1481111320228183,5.29,"NONE"
0,1,"0%",2,"LAML",248,248,155,155,93,0.625,0.625,0.375,0.375,0.375,0.375,310,1748.28,1.1346057746597702,4936.42,"NONE"
0,1,"0%",2,"Cassiopeia-Greedy",248,248,203,203,45,0.818548,0.818548,0.181452,0.1814516129032258,0.1814516129032258,0.1814516129032258,406,2322.11,1.5070122722877337,6.12,"NONE"
0,1,"0%",2,"StarCDP-Rand",248,248,95,95,153,0.383065,0.383065,0.616935,0.6169354838709677,0.6169354838709677,0.6169354838709677,190,1520.09,0.9865141121574176,69.94,"NONE"
0,1,"0%",2,"StarCDP-Bias",248,248,101,101,147,0.407258,0.407258,0.592742,0.592741935483871,0.592741935483871,0.592741935483871,202,1520.09,0.9865141121574176,68.97,"NONE"
0,1,"0%",2,"PAUP*",248,239,106,97,142,0.427419,0.405858,0.594142,0.5941422594142259,0.5725806451612904,0.5831622176591377,203,1522.05,0.987786120827844,57.73,"NONE"
0,1,"0%",2,"PAUP*-SC",248,143,130,25,118,0.524194,0.174825,0.825175,0.8251748251748252,0.47580645161290325,0.6035805626598466,155,"NA","NA","NA","NONE"
0,1,"0%",2,"StarCDP-SC",248,152,126,30,122,0.508065,0.197368,0.802632,0.8026315789473685,0.49193548387096775,0.61,156,"NA","NA","NA","NONE"
0,1,"0%",3,"Startle-NNI (C++)",248,248,185,185,63,0.745968,0.745968,0.254032,0.2540322580645161,0.2540322580645161,0.2540322580645161,370,1809.6,1.1594945792859521,15.19,"NONE"
0,1,"0%",3,"LAML",248,248,183,183,65,0.737903,0.737903,0.262097,0.2620967741935484,0.2620967741935484,0.2620967741935484,366,1807.66,1.1582515313837558,3196.16,"NONE"
0,1,"0%",3,"Cassiopeia-Greedy",248,247,194,193,54,0.782258,0.781377,0.218623,0.21862348178137653,0.21774193548387097,0.2181818181818182,387,2357.48,1.51054668477843,6.4,"NONE"
0,1,"0%",3,"StarCDP-Rand",248,248,123,123,125,0.495968,0.495968,0.504032,0.5040322580645161,0.5040322580645161,0.5040322580645161,246,1536.99,0.9848207191736935,78.09,"NONE"
0,1,"0%",3,"StarCDP-Bias",248,248,127,127,121,0.512097,0.512097,0.487903,0.4879032258064516,0.4879032258064516,0.4879032258064517,254,1536.99,0.9848207191736935,78.59,"NONE"
0,1,"0%",3,"PAUP*",248,232,127,111,121,0.512097,0.478448,0.521552,0.521551724137931,0.4879032258064516,0.5041666666666667,238,1538.94,0.9860701745393033,63.71,"NONE"
0,1,"0%",3,"PAUP*-SC",248,142,148,42,100,0.596774,0.295775,0.704225,0.704225352112676,0.4032258064516129,0.5128205128205128,190,"NA","NA","NA","NONE"
0,1,"0%",3,"StarCDP-SC",248,151,147,50,101,0.592742,0.331126,0.668874,0.6688741721854304,0.40725806451612906,0.506265664160401,197,"NA","NA","NA","NONE"
0,1,"0%",4,"Startle-NNI (C++)",248,248,174,174,74,0.701613,0.701613,0.298387,0.29838709677419356,0.29838709677419356,0.29838709677419356,348,1743.68,1.1810509489426841,8.66,"NONE"
0,1,"0%",4,"LAML",248,248,173,173,75,0.697581,0.697581,0.302419,0.3024193548387097,0.3024193548387097,0.3024193548387097,346,1739.97,1.1785380457605765,9468.24,"NONE"
0,1,"0%",4,"Cassiopeia-Greedy",248,248,212,212,36,0.854839,0.854839,0.145161,0.14516129032258066,0.14516129032258066,0.14516129032258066,424,2306.59,1.5623281269049973,5.65,"NONE"
0,1,"0%",4,"StarCDP-Rand",248,248,95,95,153,0.383065,0.383065,0.616935,0.6169354838709677,0.6169354838709677,0.6169354838709677,190,1456.25,0.9863652989067855,77.47,"NONE"
0,1,"0%",4,"StarCDP-Bias",248,248,100,100,148,0.403226,0.403226,0.596774,0.5967741935483871,0.5967741935483871,0.5967741935483871,200,1456.25,0.9863652989067855,78.55,"NONE"
0,1,"0%",4,"PAUP*",248,235,107,94,141,0.431452,0.4,0.6,0.6,0.5685483870967742,0.5838509316770186,201,1458.21,0.9876928703992197,62.7,"NONE"
0,1,"0%",4,"PAUP*-SC",248,143,132,27,116,0.532258,0.188811,0.811189,0.8111888111888111,0.46774193548387094,0.5933503836317134,159,"NA","NA","NA","NONE"
0,1,"0%",4,"StarCDP-SC",248,154,123,29,125,0.495968,0.188312,0.811688,0.8116883116883117,0.5040322580645161,0.6218905472636815,152,"NA","NA","NA","NONE"
0,1,"0%",5,"Startle-NNI (C++)",248,248,161,161,87,0.649194,0.649194,0.350806,0.35080645161290325,0.35080645161290325,0.35080645161290325,322,1724.78,1.1289896054250779,7.37,"NONE"
0,1,"0%",5,"LAML",248,248,149,149,99,0.600806,0.600806,0.399194,0.39919354838709675,0.39919354838709675,0.39919354838709675,298,1708.02,1.118019008718875,8193.92,"NONE"
0,1,"0%",5,"Cassiopeia-Greedy",248,248,206,206,42,0.830645,0.830645,0.169355,0.1693548387096774,0.1693548387096774,0.1693548387096774,412,2285.8,1.4962165841908204,6.63,"NONE"
0,1,"0%",5,"StarCDP-Rand",248,248,107,107,141,0.431452,0.431452,0.568548,0.5685483870967742,0.5685483870967742,0.5685483870967742,214,1502.99,0.9838124787264682,74.88,"NONE"
0,1,"0%",5,"StarCDP-Bias",248,248,123,123,125,0.495968,0.495968,0.504032,0.5040322580645161,0.5040322580645161,0.5040322580645161,246,1502.99,0.9838124787264682,75.55,"NONE"
0,1,"0%",5,"PAUP*",248,232,116,100,132,0.467742,0.431034,0.568966,0.5689655172413793,0.532258064516129,0.5499999999999999,216,1504.95,0.9850954363365014,59.25,"NONE"
0,1,"0%",5,"PAUP*-SC",248,127,147,26,101,0.592742,0.204724,0.795276,0.7952755905511811,0.40725806451612906,0.5386666666666667,173,"NA","NA","NA","NONE"
0,1,"0%",5,"StarCDP-SC",248,143,145,40,103,0.584677,0.27972,0.72028,0.7202797202797203,0.4153225806451613,0.5268542199488492,185,"NA","NA","NA","NONE"
0,2,"0%",1,"Startle-NNI (C++)",248,248,135,135,113,0.544355,0.544355,0.455645,0.45564516129032256,0.45564516129032256,0.4556451612903226,270,2300.51,1.100611900239689,10.33,"NONE"
0,2,"0%",1,"LAML",248,248,129,129,119,0.520161,0.520161,0.479839,0.4798387096774194,0.4798387096774194,0.47983870967741943,258,2289.73,1.0954545237081441,5200.52,"NONE"
0,2,"0%",1,"Cassiopeia-Greedy",248,248,173,173,75,0.697581,0.697581,0.302419,0.3024193548387097,0.3024193548387097,0.3024193548387097,346,2747.28,1.3143559738016755,5.71,"NONE"
0,2,"0%",1,"StarCDP-Rand",248,248,56,56,192,0.225806,0.225806,0.774194,0.7741935483870968,0.7741935483870968,0.7741935483870968,112,2066.76,0.9887810315709905,73.62,"NONE"
0,2,"0%",1,"StarCDP-Bias",248,248,74,74,174,0.298387,0.298387,0.701613,0.7016129032258065,0.7016129032258065,0.7016129032258065,148,2066.76,0.9887810315709905,73.76,"NONE"
0,2,"0%",1,"PAUP*",248,234,72,58,176,0.290323,0.247863,0.752137,0.7521367521367521,0.7096774193548387,0.7302904564315353,130,2068.45,0.9895895627712047,59.56,"NONE"
0,2,"0%",1,"PAUP*-SC",248,172,92,16,156,0.370968,0.093023,0.906977,0.9069767441860465,0.6290322580645161,0.7428571428571428,108,"NA","NA","NA","NONE"
0,2,"0%",1,"StarCDP-SC",248,182,88,22,160,0.354839,0.120879,0.879121,0.8791208791208791,0.6451612903225806,0.7441860465116279,110,"NA","NA","NA","NONE"
0,2,"0%",2,"Startle-NNI (C++)",248,248,134,134,114,0.540323,0.540323,0.459677,0.4596774193548387,0.4596774193548387,0.4596774193548387,268,2372.48,1.1018237717289838,3.12,"NONE"
0,2,"0%",2,"LAML",248,248,128,128,120,0.516129,0.516129,0.483871,0.4838709677419355,0.4838709677419355,0.48387096774193555,256,2364.67,1.0981966626881476,2035.52,"NONE"
