silencing,dropout,prior,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
0,100,01,01,cassiopeia_greedy,246,202,200,46,0.814516,0.813008,0.186992,2417.45,6.00,1.668783609341239654017934186
0,100,01,01,startle_nni,248,168,168,80,0.677419,0.677419,0.322581,1677.63,3.29,1.158080393199091555469650635
0,100,01,01,laml,248,161,161,87,0.649194,0.649194,0.350806,1644.80,10042.18,1.135417601457929215879831289
0,100,01,01,paup,232,107,91,141,0.431452,0.392241,0.607759,1429.12,49.58,0.9865321027453525054706860965
0,100,01,01,star_cdp,248,110,110,138,0.443548,0.443548,0.556452,1427.16,63.56,0.9851791002533428135548759863
0,100,01,01,star_cdp-rand,248,92,92,156,0.370968,0.370968,0.629032,1427.16,64.37,0.9851791002533428135548759863
0,100,01,01,paup-sc,151,129,32,119,0.520161,0.211921,0.788079,1498.59,,1.034487757398369493935649545
0,100,01,01,star_cdp-sc,161,125,38,123,0.504032,0.236025,0.763975,,,
0,100,01,01,ground-truth,248,0,0,248,0.0,0.0,1.0,1448.63,,1
0,100,01,02,cassiopeia_greedy,248,203,203,45,0.818548,0.818548,0.181452,2322.11,6.12,1.507012272287733553122586591
0,100,01,02,startle_nni,248,158,158,90,0.637097,0.637097,0.362903,1769.09,5.29,1.148111132022818277985813209
0,100,01,02,laml,248,155,155,93,0.625,0.625,0.375,1748.28,4936.42,1.134605774659770129861701506
0,100,01,02,paup,239,106,97,142,0.427419,0.405858,0.594142,1522.05,57.73,0.9877861208278440102020287240
0,100,01,02,star_cdp,248,101,101,147,0.407258,0.407258,0.592742,1520.09,68.97,0.9865141121574175628054281023
0,100,01,02,star_cdp-rand,248,95,95,153,0.383065,0.383065,0.616935,1520.09,69.94,0.9865141121574175628054281023
0,100,01,02,paup-sc,143,130,25,118,0.524194,0.174825,0.825175,1609.95,,1.044831815792377033753658647
0,100,01,02,star_cdp-sc,152,126,30,122,0.508065,0.197368,0.802632,,,
0,100,01,02,ground-truth,248,0,0,248,0.0,0.0,1.0,1540.87,,1
0,100,01,03,cassiopeia_greedy,247,194,193,54,0.782258,0.781377,0.218623,2357.48,6.40,1.510546684778429915165184407
0,100,01,03,startle_nni,248,185,185,63,0.745968,0.745968,0.254032,1809.60,15.19,1.159494579285952277212497117
0,100,01,03,laml,248,183,183,65,0.737903,0.737903,0.262097,1807.66,3196.16,1.158251531383755798754389112
0,100,01,03,paup,232,127,111,121,0.512097,0.478448,0.521552,1538.94,63.71,0.9860701745393033805776969014
0,100,01,03,star_cdp,248,127,127,121,0.512097,0.512097,0.487903,1536.99,78.59,0.9848207191736935182100110208
0,100,01,03,star_cdp-rand,248,123,123,125,0.495968,0.495968,0.504032,1536.99,78.09,0.9848207191736935182100110208
0,100,01,03,paup-sc,142,148,42,100,0.596774,0.295775,0.704225,1584.84,,1.015480431606735525540149166
0,100,01,03,star_cdp-sc,151,147,50,101,0.592742,0.331126,0.668874,,,
0,100,01,03,ground-truth,248,0,0,248,0.0,0.0,1.0,1560.68,,1
0,100,01,04,cassiopeia_greedy,248,212,212,36,0.854839,0.854839,0.145161,2306.59,5.65,1.562328126904997358403663014
0,100,01,04,startle_nni,248,174,174,74,0.701613,0.701613,0.298387,1743.68,8.66,1.181050948942684132811335835
0,100,01,04,laml,248,173,173,75,0.697581,0.697581,0.302419,1739.97,9468.24,1.178538045760576545333857137
0,100,01,04,paup,235,107,94,141,0.431452,0.4,0.6,1458.21,62.70,0.9876928703992197130819978596
0,100,01,04,star_cdp,248,100,100,148,0.403226,0.403226,0.596774,1456.25,78.55,0.9863652989067855159240845853
0,100,01,04,star_cdp-rand,248,95,95,153,0.383065,0.383065,0.616935,1456.25,77.47,0.9863652989067855159240845853
0,100,01,04,paup-sc,143,132,27,116,0.532258,0.188811,0.811189,1504.80,,1.019249786640295858789742478
