"NLIN","NCHR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS"
50,10,"50x10",0,"Startle-NNI (C++)",13,14,7,8,6,0.538462,0.571429,0.428571,0.42857142857142855,0.46153846153846156,0.4444444444444444,15,99.51,1.07,3.3
50,10,"50x10",0,"LAML",13,14,7,8,6,0.538462,0.571429,0.428571,0.42857142857142855,0.46153846153846156,0.4444444444444444,15,99.51,1.07,199.51
50,10,"50x10",0,"Cassiopeia-Greedy",13,13,8,8,5,0.615385,0.615385,0.384615,0.38461538461538464,0.38461538461538464,0.3846153846153847,16,99.65,1.071505376344086,5.39
50,10,"50x10",0,"Startle-NNI (Py)",13,12,8,7,5,0.615385,0.583333,0.416667,0.4166666666666667,0.38461538461538464,0.4,15,90.52,0.9733333333333333,60.49
50,10,"50x10",0,"StarCDP-Rand",13,16,7,10,6,0.538462,0.625,0.375,0.375,0.46153846153846156,0.4137931034482759,17,90.52,0.9733333333333333,3.62
50,10,"50x10",0,"StarCDP-Bias",13,16,6,9,7,0.461538,0.5625,0.4375,0.4375,0.5384615384615384,0.48275862068965525,15,90.52,0.9733333333333333,3.87
50,10,"50x10",0,"PAUP*",13,17,5,9,8,0.384615,0.529412,0.470588,0.47058823529411764,0.6153846153846154,0.5333333333333333,14,90.52,0.9733333333333333,1.59
50,10,"50x10",0,"PAUP*-SC",13,5,8,0,5,0.615385,0.0,1.0,1.0,0.38461538461538464,0.5555555555555556,8,156.88,1.6868817204301074,"NA"
50,10,"50x10",0,"StarCDP-SC",13,7,8,2,5,0.615385,0.285714,0.714286,0.7142857142857143,0.38461538461538464,0.5000000000000001,10,186.79,2.008494623655914,"NA"
50,10,"50x10",0,"Startle-ILP",13,12,7,6,6,0.538462,0.5,0.5,0.5,0.46153846153846156,0.4800000000000001,13,90.52,0.9733333333333333,12.55
50,10,"50x10",1,"Startle-NNI (C++)",10,12,4,6,6,0.4,0.5,0.5,0.5,0.6,0.5454545454545454,10,90.91,1.1036785237343691,3.92
50,10,"50x10",1,"LAML",10,10,4,4,6,0.4,0.4,0.6,0.6,0.6,0.6,8,77.44,0.9401481121767633,509.55
50,10,"50x10",1,"Cassiopeia-Greedy",10,10,7,7,3,0.7,0.7,0.3,0.3,0.3,0.3,14,82.37,1.0,5.42
50,10,"50x10",1,"Startle-NNI (Py)",10,11,4,5,6,0.4,0.454545,0.545455,0.5454545454545454,0.6,0.5714285714285714,9,79.17,0.9611509044555057,73.51
50,10,"50x10",1,"StarCDP-Rand",10,14,5,9,5,0.5,0.642857,0.357143,0.35714285714285715,0.5,0.4166666666666667,14,70.99,0.8618429039698918,3.89
50,10,"50x10",1,"StarCDP-Bias",10,10,4,4,6,0.4,0.4,0.6,0.6,0.6,0.6,8,70.99,0.8618429039698918,3.69
50,10,"50x10",1,"PAUP*",10,11,4,5,6,0.4,0.454545,0.545455,0.5454545454545454,0.6,0.5714285714285714,9,82.37,1.0,1.37
50,10,"50x10",1,"PAUP*-SC",10,2,8,0,2,0.8,0.0,1.0,1.0,0.2,0.3333333333333333,8,356.06,4.322690299866456,"NA"
50,10,"50x10",1,"StarCDP-SC",10,6,5,1,5,0.5,0.166667,0.833333,0.8333333333333334,0.5,0.625,6,111.14,1.3492776496297194,"NA"
50,10,"50x10",1,"Startle-ILP",10,10,4,4,6,0.4,0.4,0.6,0.6,0.6,0.6,8,82.37,1.0,12.09
50,10,"50x10",2,"Startle-NNI (C++)",6,8,4,6,2,0.666667,0.75,0.25,0.25,0.3333333333333333,0.2857142857142857,10,63.42,1.1558228540185895,3.61
50,10,"50x10",2,"LAML",6,8,4,6,2,0.666667,0.75,0.25,0.25,0.3333333333333333,0.2857142857142857,10,63.42,1.1558228540185895,258.43
50,10,"50x10",2,"Cassiopeia-Greedy",6,8,4,6,2,0.666667,0.75,0.25,0.25,0.3333333333333333,0.2857142857142857,10,54.87,1.0,4.99
50,10,"50x10",2,"Startle-NNI (Py)",6,8,4,6,2,0.666667,0.75,0.25,0.25,0.3333333333333333,0.2857142857142857,10,60.67,1.105704392199745,56.76
50,10,"50x10",2,"StarCDP-Rand",6,11,3,8,3,0.5,0.727273,0.272727,0.2727272727272727,0.5,0.3529411764705882,11,54.87,1.0,3.4
50,10,"50x10",2,"StarCDP-Bias",6,9,3,6,3,0.5,0.666667,0.333333,0.3333333333333333,0.5,0.4,9,54.87,1.0,3.38
50,10,"50x10",2,"PAUP*",6,6,3,3,3,0.5,0.5,0.5,0.5,0.5,0.5,6,54.87,1.0,1.3
50,10,"50x10",2,"PAUP*-SC",6,2,4,0,2,0.666667,0.0,1.0,1.0,0.3333333333333333,0.5,4,135.7,2.4731182795698925,"NA"
50,10,"50x10",2,"StarCDP-SC",6,5,3,2,3,0.5,0.4,0.6,0.6,0.5,0.5454545454545454,5,103.85,1.8926553672316384,"NA"
50,10,"50x10",2,"Startle-ILP",6,6,3,3,3,0.5,0.5,0.5,0.5,0.5,0.5,6,54.87,1.0,12.24
50,10,"50x10",3,"Startle-NNI (C++)",13,12,8,7,5,0.615385,0.583333,0.416667,0.4166666666666667,0.38461538461538464,0.4,15,86.7,1.27443774805233,3.71
50,10,"50x10",3,"LAML",13,13,7,7,6,0.538462,0.538462,0.461538,0.46153846153846156,0.46153846153846156,0.46153846153846156,14,83.22,1.22328384536234,254.38
50,10,"50x10",3,"Cassiopeia-Greedy",13,14,5,6,8,0.384615,0.428571,0.571429,0.5714285714285714,0.6153846153846154,0.5925925925925926,11,72.72,1.0689401734528885,5.31
50,10,"50x10",3,"Startle-NNI (Py)",13,12,4,3,9,0.307692,0.25,0.75,0.75,0.6923076923076923,0.72,7,70.07,1.0299867705424077,72.0
50,10,"50x10",3,"StarCDP-Rand",13,15,5,7,8,0.384615,0.466667,0.533333,0.5333333333333333,0.6153846153846154,0.5714285714285714,12,68.03,1.0,3.84
50,10,"50x10",3,"StarCDP-Bias",13,14,4,5,9,0.307692,0.357143,0.642857,0.6428571428571429,0.6923076923076923,0.6666666666666666,9,68.03,1.0,3.87
50,10,"50x10",3,"PAUP*",13,14,5,6,8,0.384615,0.428571,0.571429,0.5714285714285714,0.6153846153846154,0.5925925925925926,11,68.03,1.0,1.66
50,10,"50x10",3,"PAUP*-SC",13,5,8,0,5,0.615385,0.0,1.0,1.0,0.38461538461538464,0.5555555555555556,8,149.0,2.1902102013817433,"NA"
50,10,"50x10",3,"StarCDP-SC",13,12,4,3,9,0.307692,0.25,0.75,0.75,0.6923076923076923,0.72,7,81.62,1.1997648096428046,"NA"
50,10,"50x10",3,"Startle-ILP",13,13,2,2,11,0.153846,0.153846,0.846154,0.8461538461538461,0.8461538461538461,0.8461538461538461,4,68.03,1.0,16.22
50,10,"50x10",4,"Startle-NNI (C++)",8,8,7,7,1,0.875,0.875,0.125,0.125,0.125,0.125,14,57.45,1.215873015873016,3.23
50,10,"50x10",4,"LAML",8,6,7,5,1,0.875,0.833333,0.166667,0.16666666666666666,0.125,0.14285714285714285,12,57.45,1.215873015873016,363.95
50,10,"50x10",4,"Cassiopeia-Greedy",8,7,5,4,3,0.625,0.571429,0.428571,0.42857142857142855,0.375,0.4,9,47.25,1.0,5.49
50,10,"50x10",4,"Startle-NNI (Py)",8,8,4,4,4,0.5,0.5,0.5,0.5,0.5,0.5,8,49.72,1.0522751322751323,77.24
50,10,"50x10",4,"StarCDP-Rand",8,10,7,9,1,0.875,0.9,0.1,0.1,0.125,0.1111111111111111,16,47.25,1.0,3.29
50,10,"50x10",4,"StarCDP-Bias",8,9,7,8,1,0.875,0.888889,0.111111,0.1111111111111111,0.125,0.11764705882352941,15,47.25,1.0,3.34
50,10,"50x10",4,"PAUP*",8,8,5,5,3,0.625,0.625,0.375,0.375,0.375,0.375,10,47.25,1.0,1.26
50,10,"50x10",4,"PAUP*-SC",8,1,7,0,1,0.875,0.0,1.0,1.0,0.125,0.2222222222222222,7,151.09,3.197671957671958,"NA"
50,10,"50x10",4,"StarCDP-SC",8,2,6,0,2,0.75,0.0,1.0,1.0,0.25,0.4,6,146.48,3.10010582010582,"NA"
50,10,"50x10",4,"Startle-ILP",8,6,3,1,5,0.375,0.166667,0.833333,0.8333333333333334,0.625,0.7142857142857143,4,47.25,1.0,11.8
50,10,"50x10",5,"Startle-NNI (C++)",15,15,9,9,6,0.6,0.6,0.4,0.4,0.4,0.4,18,71.78,1.0897221800516168,3.49
50,10,"50x10",5,"LAML",15,17,7,9,8,0.466667,0.529412,0.470588,0.47058823529411764,0.5333333333333333,0.5,16,71.78,1.0897221800516168,650.63
50,10,"50x10",5,"Cassiopeia-Greedy",15,15,6,6,9,0.4,0.4,0.6,0.6,0.6,0.6,12,65.87,1.0,6.37
50,10,"50x10",5,"Startle-NNI (Py)",15,15,8,8,7,0.533333,0.533333,0.466667,0.4666666666666667,0.4666666666666667,0.4666666666666667,16,68.83,1.0449369971155305,68.81
50,10,"50x10",5,"StarCDP-Rand",15,19,5,9,10,0.333333,0.473684,0.526316,0.5263157894736842,0.6666666666666666,0.588235294117647,14,65.87,1.0,4.33
50,10,"50x10",5,"StarCDP-Bias",15,16,8,9,7,0.533333,0.5625,0.4375,0.4375,0.4666666666666667,0.45161290322580644,17,65.87,1.0,4.33
50,10,"50x10",5,"PAUP*",15,17,8,10,7,0.533333,0.588235,0.411765,0.4117647058823529,0.4666666666666667,0.4375,18,65.87,1.0,1.44
50,10,"50x10",5,"PAUP*-SC",15,3,12,0,3,0.8,0.0,1.0,1.0,0.2,0.3333333333333333,12,248.64,3.774707757704569,"NA"
50,10,"50x10",5,"StarCDP-SC",15,9,8,2,7,0.533333,0.222222,0.777778,0.7777777777777778,0.4666666666666667,0.5833333333333334,10,119.06,1.8074996204645513,"NA"
50,10,"50x10",5,"Startle-ILP",15,14,7,6,8,0.466667,0.428571,0.571429,0.5714285714285714,0.5333333333333333,0.5517241379310345,13,65.87,1.0,13.68
50,10,"50x10",6,"Startle-NNI (C++)",9,12,7,10,2,0.777778,0.833333,0.166667,0.16666666666666666,0.2222222222222222,0.19047619047619047,17,90.1,1.1530586127463527,3.4
50,10,"50x10",6,"LAML",9,12,7,10,2,0.777778,0.833333,0.166667,0.16666666666666666,0.2222222222222222,0.19047619047619047,17,85.71,1.0968773995392884,206.51
