cells,characters,dropout,mutationrate,rep,search_space_size
50,10,0.15,0.1,0,287
50,10,0.15,0.1,1,590
50,10,0.15,0.1,2,408
50,10,0.15,0.1,3,338
50,10,0.15,0.1,4,1384
50,10,0.15,0.1,5,304
50,10,0.15,0.1,6,537
50,10,0.15,0.1,7,527
50,10,0.15,0.1,8,1167
50,10,0.15,0.1,9,537
50,10,0.15,0.1,10,2232
50,10,0.15,0.1,11,311
50,10,0.15,0.1,12,594
50,10,0.15,0.1,13,594
50,10,0.15,0.1,14,369
50,10,0.15,0.1,15,517
50,10,0.15,0.1,16,517
50,10,0.15,0.1,17,258
50,10,0.15,0.1,18,394
50,10,0.15,0.1,19,1145
50,10,0.15,0.1,20,1231
50,20,0.15,0.1,0,339
50,20,0.15,0.1,1,251
50,20,0.15,0.1,2,373
50,20,0.15,0.1,3,330
50,20,0.15,0.1,4,441
50,20,0.15,0.1,5,265
50,20,0.15,0.1,6,254
50,20,0.15,0.1,7,242
50,20,0.15,0.1,8,605
50,20,0.15,0.1,9,282
50,20,0.15,0.1,10,583
50,20,0.15,0.1,11,184
50,20,0.15,0.1,12,244
50,20,0.15,0.1,13,244
50,20,0.15,0.1,14,550
50,20,0.15,0.1,15,768
50,20,0.15,0.1,16,768
50,20,0.15,0.1,17,344
50,20,0.15,0.1,18,279
50,20,0.15,0.1,19,1400
50,20,0.15,0.1,20,414
50,30,0.15,0.1,0,324
50,30,0.15,0.1,1,374
50,30,0.15,0.1,2,177
50,30,0.15,0.1,3,514
50,30,0.15,0.1,4,443
50,30,0.15,0.1,5,223
50,30,0.15,0.1,6,386
50,30,0.15,0.1,7,177
50,30,0.15,0.1,8,284
50,30,0.15,0.1,9,226
50,30,0.15,0.1,10,813
50,30,0.15,0.1,11,173
50,30,0.15,0.1,12,218
50,30,0.15,0.1,13,218
50,30,0.15,0.1,14,285
50,30,0.15,0.1,15,615
50,30,0.15,0.1,16,615
50,30,0.15,0.1,17,207
50,30,0.15,0.1,18,248
50,30,0.15,0.1,19,2835
50,30,0.15,0.1,20,185
100,10,0.15,0.1,0,1449
100,10,0.15,0.1,1,1150
100,10,0.15,0.1,2,831
100,10,0.15,0.1,3,1259
100,10,0.15,0.1,4,2324
100,10,0.15,0.1,5,1428
100,10,0.15,0.1,6,2248
100,10,0.15,0.1,7,1051
100,10,0.15,0.1,8,950
100,10,0.15,0.1,9,986
100,10,0.15,0.1,10,771
100,10,0.15,0.1,11,1178
100,10,0.15,0.1,12,5190
100,10,0.15,0.1,13,5190
100,10,0.15,0.1,14,1992
100,10,0.15,0.1,15,784
100,10,0.15,0.1,16,784
100,10,0.15,0.1,17,1948
100,10,0.15,0.1,18,2211
100,10,0.15,0.1,19,4879
100,10,0.15,0.1,20,1078
100,20,0.15,0.1,0,659
100,20,0.15,0.1,1,451
100,20,0.15,0.1,2,1534
100,20,0.15,0.1,3,1293
100,20,0.15,0.1,4,794
100,20,0.15,0.1,5,695
100,20,0.15,0.1,6,982
100,20,0.15,0.1,7,1003
100,20,0.15,0.1,8,1028
100,20,0.15,0.1,9,706
100,20,0.15,0.1,10,675
100,20,0.15,0.1,11,572
100,20,0.15,0.1,12,738
100,20,0.15,0.1,13,738
100,20,0.15,0.1,14,717
100,20,0.15,0.1,15,920
100,20,0.15,0.1,16,920
100,20,0.15,0.1,17,927
100,20,0.15,0.1,18,877
100,20,0.15,0.1,19,1664
100,20,0.15,0.1,20,1677
100,30,0.15,0.1,0,958
100,30,0.15,0.1,1,490
100,30,0.15,0.1,2,957
100,30,0.15,0.1,3,1494
100,30,0.15,0.1,4,1021
100,30,0.15,0.1,5,391
100,30,0.15,0.1,6,1406
100,30,0.15,0.1,7,519
100,30,0.15,0.1,8,715
100,30,0.15,0.1,9,608
100,30,0.15,0.1,10,418
100,30,0.15,0.1,11,365
100,30,0.15,0.1,12,460
100,30,0.15,0.1,13,460
100,30,0.15,0.1,14,1200
100,30,0.15,0.1,15,549
